Training,Testing
1000,1000
2000,220
3000,557
4000,268
5000,301
6000,403
7000,461
8000,741
9000,681
10000,154
11000,229
12000,275
13000,27
14000,23
15000,27
16000,28
17000,20
18000,27
19000,27
20000,36
21000,27
22000,26
23000,23
24000,32
25000,27
26000,29
27000,38
28000,30
29000,20
30000,30
31000,31
32000,26
33000,36
34000,30
35000,25
36000,27
37000,29
38000,27
39000,34
40000,28
1000,455
2000,1000
3000,113
4000,328
5000,40
6000,36
7000,60
8000,28
9000,33
10000,27
11000,31
12000,29
13000,49
14000,21
15000,28
16000,22
17000,28
18000,28
19000,22
20000,27
21000,30
22000,26
23000,31
24000,26
25000,22
26000,44
27000,34
28000,27
29000,32
30000,30
31000,21
32000,26
33000,25
34000,36
35000,28
36000,36
37000,25
38000,25
39000,27
40000,26
1000,1000
2000,796
3000,1000
4000,221
5000,327
6000,47
7000,1000
8000,85
9000,35
10000,47
11000,45
12000,36
13000,32
14000,42
15000,35
16000,38
17000,40
18000,32
19000,33
20000,52
21000,43
22000,55
23000,35
24000,38
25000,35
26000,37
27000,36
28000,47
29000,34
30000,45
31000,40
32000,35
33000,48
34000,40
35000,45
36000,31
37000,39
38000,44
39000,36
40000,78
1000,376
2000,643
3000,415
4000,482
5000,344
6000,69
7000,43
8000,33
9000,28
10000,29
11000,25
12000,28
13000,26
14000,23
15000,26
16000,27
17000,25
18000,35
19000,34
20000,46
21000,36
22000,26
23000,27
24000,41
25000,26
26000,42
27000,32
28000,43
29000,33
30000,26
31000,30
32000,39
33000,37
34000,24
35000,32
36000,43
37000,37
38000,28
39000,33
40000,51
1000,955
2000,1000
3000,819
4000,1000
5000,394
6000,494
7000,29
8000,23
9000,28
10000,27
11000,28
12000,40
13000,40
14000,31
15000,27
16000,22
17000,36
18000,29
19000,29
20000,32
21000,38
22000,25
23000,30
24000,35
25000,31
26000,31
27000,39
28000,89
29000,44
30000,25
31000,39
32000,26
33000,30
34000,37
35000,31
36000,30
37000,33
38000,38
39000,38
40000,34
1000,607
2000,256
3000,1000
4000,263
5000,1000
6000,590
7000,88
8000,422
9000,63
10000,90
11000,1000
12000,235
13000,24
14000,29
15000,39
16000,31
17000,30
18000,25
19000,25
20000,30
21000,32
22000,39
23000,31
24000,40
25000,36
26000,26
27000,37
28000,35
29000,29
30000,151
31000,36
32000,30
33000,29
34000,38
35000,36
36000,35
37000,31
38000,41
39000,32
40000,34
1000,1000
2000,707
3000,1000
4000,424
5000,734
6000,1000
7000,355
8000,484
9000,514
10000,334
11000,120
12000,153
13000,975
14000,52
15000,54
16000,30
17000,53
18000,36
19000,44
20000,43
21000,35
22000,32
23000,31
24000,35
25000,52
26000,35
27000,39
28000,25
29000,28
30000,38
31000,33
32000,31
33000,29
34000,27
35000,22
36000,25
37000,24
38000,31
39000,27
40000,28
1000,992
2000,892
3000,409
4000,628
5000,632
6000,482
7000,61
8000,129
9000,300
10000,288
11000,107
12000,87
13000,95
14000,28
15000,23
16000,35
17000,22
18000,33
19000,20
20000,30
21000,32
22000,20
23000,25
24000,38
25000,23
26000,32
27000,37
28000,30
29000,25
30000,24
31000,22
32000,45
33000,36
34000,55
35000,28
36000,37
37000,37
38000,31
39000,27
40000,33
1000,313
2000,421
3000,918
4000,1000
5000,648
6000,246
7000,70
8000,64
9000,32
10000,25
11000,28
12000,25
13000,42
14000,28
15000,30
16000,60
17000,36
18000,28
19000,41
20000,76
21000,47
22000,46
23000,32
24000,30
25000,40
26000,40
27000,33
28000,47
29000,43
30000,36
31000,23
32000,27
33000,33
34000,30
35000,32
36000,60
37000,36
38000,27
39000,46
40000,35
1000,825
2000,254
3000,212
4000,371
5000,688
6000,441
7000,804
8000,174
9000,306
10000,85
11000,359
12000,209
13000,26
14000,29
15000,27
16000,32
17000,24
18000,27
19000,29
20000,33
21000,34
22000,25
23000,27
24000,29
25000,32
26000,28
27000,28
28000,34
29000,26
30000,36
31000,31
32000,28
33000,26
34000,29
35000,26
36000,26
37000,30
38000,34
39000,27
40000,30
