Training,Testing
1000,1000
2000,1000
3000,1000
4000,1000
5000,1000
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,597
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,1000
21000,284
22000,1000
23000,1000
24000,1000
25000,287
26000,1000
27000,1000
28000,1000
29000,1000
30000,1000
31000,1000
32000,1000
33000,1000
34000,1000
35000,1000
36000,1000
37000,1000
38000,386
39000,1000
40000,1000
1000,1000
2000,1000
3000,1000
4000,1000
5000,881
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,1000
21000,1000
22000,1000
23000,665
24000,1000
25000,845
26000,1000
27000,1000
28000,1000
29000,829
30000,1000
31000,1000
32000,1000
33000,1000
34000,1000
35000,1000
36000,1000
37000,1000
38000,1000
39000,1000
40000,1000
1000,1000
2000,1000
3000,1000
4000,1000
5000,778
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,1000
21000,1000
22000,1000
23000,1000
24000,1000
25000,1000
26000,1000
27000,1000
28000,1000
29000,1000
30000,1000
31000,1000
32000,1000
33000,994
34000,1000
35000,1000
36000,1000
37000,1000
38000,1000
39000,1000
40000,1000
1000,1000
2000,1000
3000,1000
4000,1000
5000,1000
6000,1000
7000,1000
8000,1000
9000,598
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,1000
21000,1000
22000,728
23000,716
24000,1000
25000,1000
26000,1000
27000,1000
28000,1000
29000,1000
30000,1000
31000,1000
32000,1000
33000,1000
34000,1000
35000,1000
36000,1000
37000,1000
38000,456
39000,1000
40000,736
1000,384
2000,1000
3000,1000
4000,1000
5000,1000
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,561
13000,1000
14000,1000
15000,1000
16000,1000
17000,773
18000,1000
19000,1000
20000,293
21000,1000
22000,1000
23000,1000
24000,1000
25000,1000
26000,1000
27000,1000
28000,1000
29000,1000
30000,1000
31000,1000
32000,1000
33000,1000
34000,449
35000,1000
36000,1000
37000,1000
38000,1000
39000,1000
40000,1000
1000,1000
2000,1000
3000,1000
4000,1000
5000,1000
6000,469
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,525
21000,1000
22000,1000
23000,1000
24000,1000
25000,1000
26000,497
27000,773
28000,1000
29000,1000
30000,1000
31000,1000
32000,1000
33000,1000
34000,1000
35000,1000
36000,1000
37000,1000
38000,1000
39000,1000
40000,1000
1000,1000
2000,1000
3000,1000
4000,1000
5000,1000
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,1000
21000,1000
22000,1000
23000,332
24000,1000
25000,1000
26000,1000
27000,1000
28000,1000
29000,1000
30000,1000
31000,1000
32000,1000
33000,1000
34000,1000
35000,1000
36000,1000
37000,1000
38000,940
39000,1000
40000,1000
1000,1000
2000,861
3000,990
4000,1000
5000,1000
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,793
12000,706
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,569
20000,1000
21000,1000
22000,1000
23000,656
24000,1000
25000,1000
26000,714
27000,1000
28000,494
29000,1000
30000,1000
31000,1000
32000,1000
33000,1000
34000,854
35000,1000
36000,1000
37000,637
38000,1000
39000,1000
40000,1000
1000,1000
2000,1000
3000,1000
4000,1000
5000,1000
6000,1000
7000,1000
8000,594
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,1000
18000,1000
19000,1000
20000,1000
21000,1000
22000,1000
23000,1000
24000,1000
25000,1000
26000,1000
27000,1000
28000,1000
29000,1000
30000,805
31000,1000
32000,1000
33000,1000
34000,1000
35000,1000
36000,783
37000,1000
38000,1000
39000,1000
40000,895
1000,520
2000,1000
3000,1000
4000,1000
5000,883
6000,1000
7000,1000
8000,1000
9000,1000
10000,1000
11000,1000
12000,1000
13000,1000
14000,1000
15000,1000
16000,1000
17000,898
18000,1000
19000,1000
20000,1000
21000,1000
22000,1000
23000,403
24000,866
25000,1000
26000,1000
27000,1000
28000,1000
29000,1000
30000,623
31000,1000
32000,1000
33000,941
34000,1000
35000,1000
36000,1000
37000,1000
38000,1000
39000,1000
40000,1000
