Training,Testing
3000,3000
6000,2401
9000,3000
12000,2199
15000,1880
18000,2589
21000,572
24000,1774
27000,3000
30000,2759
33000,3000
36000,2053
39000,3000
42000,2704
45000,1948
48000,646
51000,3000
54000,3000
57000,3000
60000,2131
63000,3000
66000,606
69000,3000
72000,2595
75000,3000
78000,1060
81000,2401
84000,3000
87000,3000
90000,216
93000,1568
96000,1290
99000,3000
102000,1594
105000,1085
108000,3000
111000,445
114000,3000
117000,1402
120000,2388
3000,3000
6000,927
9000,3000
12000,1856
15000,3000
18000,3000
21000,3000
24000,3000
27000,2011
30000,697
33000,3000
36000,3000
39000,3000
42000,3000
45000,1760
48000,923
51000,723
54000,2001
57000,772
60000,2275
63000,2409
66000,3000
69000,3000
72000,2930
75000,3000
78000,1612
81000,2634
84000,3000
87000,3000
90000,410
93000,2943
96000,1328
99000,3000
102000,3000
105000,2259
108000,2522
111000,2525
114000,477
117000,3000
120000,2537
3000,514
6000,674
9000,2795
12000,3000
15000,2721
18000,2586
21000,1727
24000,3000
27000,1000
30000,3000
33000,2009
36000,1417
39000,3000
42000,906
45000,3000
48000,1365
51000,503
54000,3000
57000,1012
60000,3000
63000,3000
66000,3000
69000,3000
72000,1451
75000,2214
78000,463
81000,3000
84000,620
87000,1316
90000,2038
93000,2347
96000,3000
99000,2149
102000,3000
105000,1711
108000,3000
111000,2635
114000,3000
117000,1722
120000,3000
3000,2360
6000,3000
9000,2640
12000,1798
15000,1232
18000,1919
21000,3000
24000,3000
27000,3000
30000,1919
33000,2556
36000,2468
39000,1407
42000,2838
45000,1752
48000,3000
51000,2926
54000,3000
57000,2199
60000,2919
63000,3000
66000,3000
69000,600
72000,2314
75000,3000
78000,1910
81000,1108
84000,1518
87000,3000
90000,2240
93000,2215
96000,3000
99000,3000
102000,2931
105000,3000
108000,1015
111000,3000
114000,1368
117000,2013
120000,3000
3000,3000
6000,3000
9000,334
12000,1838
15000,2139
18000,3000
21000,2549
24000,2174
27000,1336
30000,3000
33000,3000
36000,2413
39000,1178
42000,3000
45000,480
48000,1094
51000,3000
54000,1933
57000,2754
60000,3000
63000,2958
66000,3000
69000,2993
72000,3000
75000,477
78000,1415
81000,3000
84000,1818
87000,1563
90000,3000
93000,1566
96000,1353
99000,1347
102000,3000
105000,3000
108000,3000
111000,2361
114000,3000
117000,441
120000,3000
3000,3000
6000,3000
9000,3000
12000,1189
15000,2851
18000,3000
21000,3000
24000,1894
27000,605
30000,1293
33000,3000
36000,3000
39000,3000
42000,3000
45000,2756
48000,2043
51000,706
54000,1472
57000,3000
60000,3000
63000,1115
66000,3000
69000,2256
72000,1784
75000,3000
78000,812
81000,928
84000,2017
87000,2114
90000,3000
93000,3000
96000,1185
99000,3000
102000,1710
105000,3000
108000,3000
111000,280
114000,1937
117000,1375
120000,1507
3000,3000
6000,754
9000,1280
12000,3000
15000,3000
18000,3000
21000,1349
24000,1323
27000,984
30000,1825
33000,1844
36000,1635
39000,3000
42000,2557
45000,3000
48000,3000
51000,3000
54000,763
57000,531
60000,2931
63000,3000
66000,3000
69000,2052
72000,1354
75000,1848
78000,3000
81000,3000
84000,3000
87000,469
90000,1364
93000,3000
96000,3000
99000,3000
102000,2095
105000,3000
108000,241
111000,3000
114000,3000
117000,1853
120000,1005
3000,3000
6000,2735
9000,3000
12000,914
15000,2843
18000,3000
21000,908
24000,1750
27000,1324
30000,3000
33000,3000
36000,208
39000,2170
42000,3000
45000,1598
48000,1873
51000,1268
54000,3000
57000,3000
60000,508
63000,826
66000,583
69000,1628
72000,328
75000,729
78000,2232
81000,838
84000,2411
87000,3000
90000,1607
93000,636
96000,1190
99000,1357
102000,1847
105000,3000
108000,3000
111000,3000
114000,3000
117000,2410
120000,3000
3000,2766
6000,2654
9000,3000
12000,3000
15000,1821
18000,2475
21000,3000
24000,3000
27000,1991
30000,3000
33000,2711
36000,1631
39000,2464
42000,3000
45000,1213
48000,3000
51000,306
54000,3000
57000,3000
60000,2582
63000,3000
66000,1171
69000,3000
72000,2066
75000,1102
78000,2983
81000,3000
84000,1750
87000,3000
90000,3000
93000,2145
96000,3000
99000,3000
102000,2833
105000,3000
108000,629
111000,934
114000,530
117000,3000
120000,2395
3000,3000
6000,3000
9000,1488
12000,840
15000,3000
18000,3000
21000,2761
24000,2328
27000,1628
30000,496
33000,2092
36000,1167
39000,1580
42000,1755
45000,1711
48000,3000
51000,3000
54000,3000
57000,3000
60000,2266
63000,3000
66000,3000
69000,3000
72000,2304
75000,2698
78000,1644
81000,3000
84000,3000
87000,2345
90000,2141
93000,1412
96000,1997
99000,2960
102000,2798
105000,3000
108000,3000
111000,2878
114000,3000
117000,2964
120000,2923
